_id,name,location,logo,items
65c82b9a788b11f7fa6499ce,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'angus chipotle bbq bacon', 'description': 'angus chipotle bbq bacon, sandwiches', 'cals': 800, 'carbs': 66, 'fat': 39.0, 'protein': 45}]"
65c82b9a788b11f7fa6499cf,mcdonald's,"Gainesville, Florida",https://cfc24-mass.imgix.net/mcd.jpg,"[{'name': 'big breakfast (large size biscuit)', 'description': 'big breakfast (large size biscuit), breakfast', 'cals': 800, 'carbs': 56, 'fat': 52.0, 'protein': 28}]"
65c82b9a788b11f7fa6499d0,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'sampler platter, local specialty, full order w/ marinara, ranch, and honey mustard cups', 'description': 'sampler platter, local specialty, full order w/ marinara, ranch, and honey mustard cups, sides', 'cals': 2400, 'carbs': 204, 'fat': 153.0, 'protein': 15}]"
65c82b9a788b11f7fa6499d1,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'honey bbq w/ bacon sandwich w/ fries', 'description': 'honey bbq w/ bacon sandwich w/ fries, sandwich', 'cals': 1890, 'carbs': 210, 'fat': 94.0, 'protein': 8}]"
65c82b9a788b11f7fa6499d2,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'chicken parmesan sandwich, breadstick dipping sauce, fries', 'description': 'chicken parmesan sandwich, breadstick dipping sauce, fries, sandwich', 'cals': 1790, 'carbs': 171, 'fat': 99.0, 'protein': 10}]"
65c82b9a788b11f7fa6499d3,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'honey bbq sandwich w/ fries', 'description': 'honey bbq sandwich w/ fries, sandwich', 'cals': 1720, 'carbs': 210, 'fat': 78.0, 'protein': 8}]"
65c82b9a788b11f7fa6499d4,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'buffalo chicken sandwich w/ fries', 'description': 'buffalo chicken sandwich w/ fries, sandwich', 'cals': 1550, 'carbs': 179, 'fat': 75.0, 'protein': 8}]"
65c82b9a788b11f7fa6499d5,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'sampler platter, local specialty, half order w/ marinara, ranch, and honey mustard cups', 'description': 'sampler platter, local specialty, half order w/ marinara, ranch, and honey mustard cups, sides', 'cals': 1430, 'carbs': 114, 'fat': 95.0, 'protein': 9}]"
65c82b9a788b11f7fa6499d6,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'bacon cheddar fries w/ ranch dipping cup', 'description': 'bacon cheddar fries w/ ranch dipping cup, sides', 'cals': 1420, 'carbs': 104, 'fat': 99.0, 'protein': 9}]"
65c82b9a788b11f7fa6499d7,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'meatball sub sandwich w/ straight-cut fries', 'description': 'meatball sub sandwich w/ straight-cut fries, sandwich', 'cals': 1410, 'carbs': 144, 'fat': 70.0, 'protein': 9}]"
65c82b9a788b11f7fa6499d8,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'supremo sandwich local specialty w/ straight-cut fries', 'description': 'supremo sandwich local specialty w/ straight-cut fries, sandwich', 'cals': 1370, 'carbs': 131, 'fat': 67.0, 'protein': 6}]"
65c82b9a788b11f7fa6499d9,pizza hut,"Gainesville, Florida",https://cfc24-mass.imgix.net/pizzahut.png,"[{'name': 'fried nacho straight-cut fries', 'description': 'fried nacho straight-cut fries , sides', 'cals': 1320, 'carbs': 133, 'fat': 77.0, 'protein': 9}]"
65c82b9a788b11f7fa6499da,wendy's,"Gainesville, Florida",https://cfc24-mass.imgix.net/wendys.svg,"[{'name': 'family size nuggets, spicy', 'description': 'family size nuggets, spicy, choice of sauce: barbecue, honey mustard dipping sauce, buttermilk ranch, ghost pepper ranch, ketchup, sweet & sour, chicken, nuggets & more', 'cals': 2340, 'carbs': 112, 'fat': 153.0, 'protein': 128}]"
65c82b9a788b11f7fa6499db,wendy's,"Gainesville, Florida",https://cfc24-mass.imgix.net/wendys.svg,"[{'name': 'family size nuggets, crispy', 'description': 'family size nuggets, crispy, choice of sauce: barbecue, honey mustard dipping sauce, buttermilk ranch, ghost pepper ranch, ketchup, sweet & sour, chicken, nuggets & more', 'cals': 2260, 'carbs': 116, 'fat': 145.0, 'protein': 123}]"
